000,-----,------,ーーー,-----,-----,-----,
001,Pound,Klaps,はたく,Écras'Face,Destructor,Botta,
002,Karate Chop,Karateschlag,からてチョップ,Poing Karaté,Golpe Kárate,Colpo Karate,
003,Double Slap,Duplexhieb,おうふくビンタ,Torgnoles,Doble Bofetón,Doppiasberla,
004,Comet Punch,Kometenhieb,れんぞくパンチ,Poing Comète,Puño Cometa,Cometapugno,
005,Mega Punch,Megahieb,メガトンパンチ,Ultimapoing,Megapuño,Megapugno,
006,Pay Day,Zahltag,ネコにこばん,Jackpot,Día de Pago,Giornopaga,
007,Fire Punch,Feuerschlag,ほのおのパンチ,Poing Feu,Puño Fuego,Fuocopugno,
008,Ice Punch,Eishieb,らいとうパンチ,Poing Glace,Puño Hielo,Gelopugno,
009,Thunder Punch,Donnerschlag,かみなりパンチ,Poing Éclair,Puño Trueno,Tuonopugno,
010,Scratch,Kratzer,ひっかく,Griffe,Arañazo,Graffio,
011,Vise Grip,Klammer,はさむ,Force Poigne,Agarre,Presa,
012,Guillotine,Guillotine,はさみギロチン,Guillotine,Guillotina,Ghigliottina,
013,Razor Wind,Klingensturm,かまいたち,Coupe-Vent,Viento Cortante,Ventagliente,
014,Swords Dance,Schwerttanz,つるぎのまい,Danse-Lames,Danza Espada,Danzaspada,
015,Cut,Zerschneider,いあいぎり,Coupe,Corte,Taglio,
016,Gust,Windstoß,かざおこし,Tornade,Tornado,Raffica,
017,Wing Attack,Flügelschlag,つばさでうつ,Cru-Ailes,Ataque Ala,Attacco d'Ala,
018,Whirlwind,Wirbelwind,ふきとばし,Cyclone,Remolino,Turbine,
019,Fly,Fliegen,そらをとぶ,Vol,Vuelo,Volo,
020,Bind,Klammergriff,しみつける,Étreinte,Atadura,Legatutto,
021,Slam,Slam,たたけつける,Souplesse,Atizar,Schianto,
022,Vine Whip,Rankenhieb,つるのむち,Fouet Lianes,Látigo Cepa,Frustata,
023,Stomp,Stampfer,ふみつけ,Écrasement,Pisotón,Pestone,
024,Double Kick,Doppelkick,にどげり,Double Pied,Doble Patada,Doppiocalcio,
025,Mega Kick,Megakick,メガトンキック,Ultimawashi,Megapatada,Megacalcio,
026,Jump Kick,Sprungkick,とびげり,Pied Sauté,Patada Salto,Calciosalto,
027,Rolling Kick,Fegekick,まわしげり,Mawashi Geri,Patada Giro,Calciorullo,
028,Sand Attack,Sandwirbel,すなかけ,Jet de Sable,Ataque Arena,Turbosabbia,
029,Headbutt,Kopfnuss,ずつき,Coup d'Boule,Golpe Cabeza,Bottintesta,
030,Horn Attack,Hornattacke,つのでつく,Koud'Korne,Cornada,Incornata,
031,Fury Attack,Furienschlag,みだれづき,Furie,Ataque Furia,Furia,
032,Horn Drill,Hornbohrer,つのドリル,Empal'Korne,Perforador,Perforcorno,
033,Tackle,Tackle,たいあたり,Charge,Placaje,Azione,
034,Body Slam,Bodyslam,のしかかり,Plaquage,Golpe Cuerpo,Corposcontro,
035,Wrap,Wickel,まきつく,Ligotage,Constricción,Avvolgibotta,
036,Take Down,Bodycheck,とっしん,Bélier,Derribo,Riduttore,
037,Thrash,Fuchtler,あばれる,Mania,Golpe,Colpo,
038,Double-Edge,Risikotackle,すてみッタク,Damoclès,Doble Filo,Sdoppiatore,
039,Tail Whip,Rutenschlag,しっぽをふる,Mimi-Queue,Látigo,Colpocoda,
