000,Cacophony,Energieaufladung,？？？,---,---,---,
001,Stench,Duftnote,あくしゅう,Puanteur,Hedor,Tanfo,
002,Drizzle,Niesel,あめふらし,Crachin,Llovizna,Piovischio,
003,Speed Boost,Temposchub,かそく,Turbo,Impulso,Acceleratore,
004,Battle Armor,Kampfpanzer,カブトアーマー,Armurbaston,Armadura Batalla,Lottascudo,
005,Sturdy,Robustheit,がんじょう,Fermeté,Robustez,Vigore,
006,Damp,Feuchtigkeit,しめりけ,Moiteur,Humedad,Umidità,
007,Limber,Flexibilität,じゅうなん,Échauffement,Flexibilidad,Scioltezza,
008,Sand Veil,Sandschleier,すながくれ,Voile Sable,Velo Arena,Sabbiavelo,
009,Static,Statik,せいでんき,Statik,Elec. Estática,Statico,
010,Volt Absorb,Voltabsorber,ちくでん,Absorbe-Volt,Absorbe Elec.,Assorbivolt,
011,Water Absorb,H2O-Absorber,ちょすい,Absorbe-Eau,Absorbe Agua,Assorbacqua,
012,Oblivious,Dösigkeit,どんかん,Benêt,Despiste,Indifferenza,
013,Cloud Nine,Wolke Sieben,ノーてんき,Ciel Gris,Aclimatación,Antimeteo,
014,Compound Eyes,Facettenauge,ふくがん,Oeil Composé,Ojo Compuesto,Insettochi,
015,Insomnia,Insomnia,ふみん,Insomnia,Insomnio,Insonnia,
016,Color Change,Farbwechsel,へんしょく,Homochromie,Cambio Color,Cambiacolore,
017,Immunity,Immunität,めんえき,Vaccin,Inmunidad,Immunità,
018,Flash Fire,Feuerfänger,もらいび,Torche,Absorbe Fuego,Fuocardore,
019,Shield Dust,Puderabwehr,りんぷん,Écran Poudre,Polvo Escudo,Polvoscudo,
020,Own Tempo,Tempomacher,マイペース,Tempo Perso,Ritmo Propio,Mente Locale,
021,Suction Cups,Saugnapf,きゅうばん,Ventouse,Ventosas,Ventose,
022,Intimidate,Bedroher,いかく,Intimidation,Intimidación,Prepotenza,
023,Shadow Tag,Wegsperre,かげふみ,Marque Ombre,Sombra Trampa,Pedinombra,
024,Rough Skin,Rauhaut,さめはだ,Peau Dure,Piel Tosca,Cartavetro,
025,Wonder Guard,Wunderwache,ふしぎなまもり,Garde Mystik,Superguarda,Magidifesa,
026,Levitate,Schwebe,ふゆう,Lévitation,Levitación,Levitazione,
027,Effect Spore,Sporenwirt,ほうし,Pose Spore,Efecto Espora,Spargispora,
028,Synchronize,Synchro,シンクロ,Synchro,Sincronía,Sincronismo,
029,Clear Body,Neutraltorso,クリアボヂィ,Corps Sain,Cuerpo Puro,Corpochiaro,
030,Natural Cure,Innere Kraft,しぜんかいふく,Médic Nature,Cura Natural,Alternacura,
031,Lightning Rod,Blitzfänger,ひらいしん,Paratonnerre,Pararrayos,Parafulmine,
032,Serene Grace,Edelmut,てんのめぐみ,Sérénité,Dicha,Leggiadro,
033,Swift Swim,Wassertempo,すいすい,Glissade,Nado Rápido,Nuotovelox,
034,Chlorophyll,Chlorophyll,ようりょくそ,Chlorophylle,Clorofila,Clorofilla,
035,Illuminate,Erleuchtung,はっこう,Lumiattirance,Iluminación,Risplendi,
036,Trace,Fährte,トレース,Calque,Rastro,Traccia,
037,Huge Power,Kraftkoloss,ちからもち,Coloforce,Potencia,Macroforza,
038,Poison Point,Giftdorn,どくのトゲ,Point Poison,Punto Tóxico,Velenopunto,
039,Inner Focus,Konzentrator,せいしんりょく,Attention,Foco Interno,Forza Interiore,
040,Magma Armor,Magmapanzer,マグマのよろい,Armumagma,Escudo Magma,Magmascudo,
041,Water Veil,Aquahülle,みずのベール,Ignifu-Voile,Velo Agua,Idrovelo,
042,Magnet Pull,Magnetfalle,じりょく,Magnépiège,Imán,Magnetismo,
043,Soundproof,Lärmschutz,ぼうおん,Anti-Bruit,Insonorizar,Antisuono,
044,Rain Dish,Regengenuss,あめうけざら,Cuvette,Cura Lluvia,Copripioggia,
045,Sand Stream,Sandsturm,すなおこし,Sable Volant,Chorro Arena,Sabbiafiume,
046,Pressure,Erzwinger,プレッシャー,Pression,Presión,Pressione,
047,Thick Fat,Speckschicht,あついしぼう,Isograisse,Sebo,Grassospesso,
048,Early Bird,Frühwecker,はやおき,Matinal,Madrugar,Sveglialampo,
049,Flame Body,Flammkörper,ほのおのからだ,Corps Ardent,Cuerpo Llama,Corpodifuoco,
050,Run Away,Angsthase,にげあし,Fuite,Fuga,Fugafacile,
051,Keen Eye,Adlerauge,するどいめ,Regard Vif,Vista Lince,Sguardofermo,
052,Hyper Cutter,Scherenmacht,かいりきバサミ,Hyper Cutter,Corte Fuerte,Ipertaglio,
053,Pickup,Mitnahme,ものひろい,Ramassage,Recogida,Raccolta,
054,Truant,Schnarchnase,なまけ,Absentéisme,Ausente,Pigrone,
055,Hustle,Übereifer,はりきり,Agitation,Entusiasmo,Tuttafretta,
056,Cute Charm,Charmebolzen,メロメロボディ,Joli Sourire,Gran Encanto,Incantevole,
057,Plus,Plus,プラス,Plus,Más,Più,
058,Minus,Minus,マイナス,Minus,Menos,Meno,
059,Forecast,Prognose,たんきや,Météo,Predicción,Previsioni,
060,Sticky Hold,Wertehalter,ねんちゃく,Glue,Viscosidad,Antifurto,
061,Shed Skin,Expidermis,だっぴ,Mue,Mudar,Muta,
062,Guts,Adrenalin,こんじょう,Cran,Agallas,Dentistretti,
063,Marvel Scale,Notschutz,ふしぎなうろこ,Écaille Spéciale,Escama Especial,Pelledura,
064,Liquid Ooze,Kloakensoße,ヘドロえき,Suintement,Lodo Líquido,Melma,
065,Overgrow,Notdünger,しんりょく,Engrais,Espesura,Erbaiuto,
066,Blaze,Großbrand,もうか,Brasier,Mar Llamas,Aiutofuoco,
067,Torrent,Sturzbach,げきりゅう,Torrent,Torrente,Acquaiuto,
068,Swarm,Hexaplaga,むしのしらせ,Essaim,Enjambre,Aiutinsetto,
069,Rock Head,Steinhaupt,いしあたま,Tête de Roc,Cabeza Roca,Testadura,
070,Drought,Dürre,ひでり,Sécheresse,Sequía,Siccità,
071,Arena Trap,Ausweglos,ありじごく,Piège,Trampa Arena,Trappoarena,
072,Vital Spirit,Munterkeit,やるき,Esprit Vital,Espíritu Vital,Spiritovivo,
073,White Smoke,Pulverrauch,しろいけむり,Écran Fumée,Humo Blanco,Fumochario,
074,Pure Power,Mentalkraft,ヨガパワー,Force Pure,Energía Pura,Forzapura,
075,Shell Armor,Panzerhaut,シェルアーマー,Coque Armure,Caparazón,Guscioscudo,
076,Air Lock,Klimaschutz,エアロック,Air Lock,Bucle Aire,Riparo,
077,Tangled Feet,Fußangel,ちどりあし,Pieds Confus,Tumbos,Intricopiedi,
078,Motor Drive,Starthilfe,でんきエンジン,Motorisé,Electromotor,Elettrorapid,
079,Rivalry,Rivalität,とうそうしん,Rivalité,Rivalidad,Antagonismo,
080,Steadfast,Felsenfest,ふくつのこころ,Impassible,Impasible,Cuordeciso,
081,Snow Cloak,Schneemantel,ゆきがくれ,Rideau Neige,Manto Níveo,Mantelneve,
082,Gluttony,Völlerei,くいしんぼう,Gloutonnerie,Gula,Voracità,
083,Anger Point,Kurzschluss,いかりのつぼ,Colérique,Irascible,Grancollera,
